video_id,views,collects,diggs,comments,shares
7525945563888520470,1500000,8792,158300,2210,9973
7525489717232684310,1200000,3396,59900,200,790
7526871052777950471,312400,4142,30900,171,646
7526895927550905605,841200,11000,178800,596,7502
7516675957281869078,93900,132,3121,57,185
7524317410623524118,112700,710,7971,58,317
7526973871803616534,104700,401,16500,145,278
7520569825526123781,8289,428,1198,206,196
7526968634464324886,415600,7522,76000,210,794
7508459490618936598,399300,6627,78100,260,4273
7509649524537756959,1200000,9368,256500,494,1957
7522487261187804438,2300000,16300,325100,4158,1845
7526521920259394838,979800,1761,50700,1464,1716
7526572447521426696,442500,3793,46200,1229,2602
7507639051139157270,1000000,2954,125200,124,844
7511381100720098582,192800,3108,23800,1380,1472
7526646361249418518,232900,2801,54900,72,4068
7524966666590047510,1200000,2947,85500,1200,13100
7523193591708044566,3600000,11100,215100,1352,29700
7525029955865021718,1300000,3339,197900,497,4814
7526269996473797910,886300,19800,179000,657,12700
7525326147119238422,1600000,6194,149100,728,1693
7524389405981674754,405300,2206,23800,113,213
7527390004214238486,5699,19,276,95,7
7525094052417539335,118000,1559,14300,69,350
7526874180390817046,12400,468,2432,42,91
7522273599668096258,1200000,3540,39400,71,526
7527317691330350358,1322,1,35,1,0
7527352479814552854,6784,31,443,7,33
7525055974248598806,1700000,13700,267800,2065,33200
7527315121195076886,484,6,73,4,2
7527331208963968278,106,1,11,0,1
7527305477726768406,841,7,100,1,1
7527389399269608722,142,0,37,6,0
7527317218506394902,329,3,5,3,1
7525679427515108630,1200000,632,20400,160,1226
7526964038979341590,2300000,21900,331900,934,4498
7522897982220537110,4300000,4975,111200,2297,432
7523608732589215006,6400000,53800,646400,1899,143300
7524745710844038422,2600000,1758,28200,332,874
7524118947382168854,27600000,77300,1700000,3562,23200
7525861442889846038,1600000,5355,207600,394,5348
7526490754290650390,1400000,7245,162400,1001,2792
7525132552395394336,7000000,43000,837800,1253,184100
7526185892407495958,2300000,4983,156700,1107,27300
7524367234261634326,9600000,6210,345800,1675,970
7526499207184780566,1200000,4400,63700,330,3939
7526251206549736726,1400000,1556,78300,132,1962
7526995650865630486,984400,4844,121100,817,3719
7526091654718065942,2300000,8917,123800,1423,27900
7526613231490600214,1600000,3793,105400,528,341
7525146815579049238,1500000,3464,83900,1449,1619
7526638263625420054,1800000,13100,379300,2148,20200
7519144265591819542,17300000,8404,192000,1020,3030
7524814942776872223,145400000,628900,13200000,33600,408400
7526635976454720790,5400000,10800,339400,2046,5335
7526959127499705622,1300000,921,39300,103,548
7525447695784348983,45400000,217400,6400000,18300,68700
7524690589091138838,13800000,49700,1200000,4113,13000
7526876056326917398,2500000,23200,341900,2359,14000
7522552866494549270,14600000,57700,1100000,9633,29500
7525812463053442326,1300000,2302,56800,139,1041
7527637221105503510,4700000,33800,781000,5674,46700
7527691009958923542,3900000,28600,667300,2162,22500
7527285348062235926,2300000,26600,494400,1401,23800
7527646409038908694,1900000,5454,222900,257,1156
7527346847669603606,1600000,13600,298600,1111,15300
7526969601960201494,10900000,41600,828200,3397,20300
7526627555739307286,2700000,13500,340900,1270,14400
7526575559833406742,1400000,190,2760,8,50
7525869783196110102,9000000,16700,454200,802,5966
7526624733253733654,2100000,11200,162300,1115,3476
7527299422841998614,1800000,4021,144100,578,11000
7527270262698478870,2900000,10300,223000,6098,7799
7526985216129387798,1900000,5849,104900,898,1642
7527308310496808194,5400000,11100,329200,924,5800
7526502130715217174,1400000,4121,58500,374,5008
7526917188314402050,41600000,190900,4000000,41700,2400000
7526306988985224470,1200000,1331,18600,880,1692
7526212982758575415,44000000,449900,8600000,16400,3400000
7527647849748663574,2700000,11700,179200,2230,2963
7527392487661407511,1300000,3112,104400,138,1578
7527378888473758998,1700000,7702,151700,2507,1977
7526165788969946390,895400,1930,23800,358,3826
7525904006972067094,16500000,27500,233500,2104,71700
7526324072964312342,877500,2792,91800,210,412
7525878898891017494,7500000,21500,287900,4839,27600
7526243780597681431,1800000,5101,178900,488,4223
7525347278152944918,27400000,132300,2900000,6064,128800
7525444232161660182,1700000,2752,54900,512,1117
7525939992871374102,1100000,3754,128000,291,3088
7526544240734768406,1000000,3992,125200,2282,7469
7526139773656829206,901500,1669,86600,111,1036
7526551528660864258,7600000,23700,461400,787,4907
7525478091951492374,1500000,6411,246800,415,8548
7507954032472902917,39000,326,1930,14,218
7526871052777950471,300300,4017,30100,167,631
7504684973354634504,378000,3097,31500,637,1822
7515079969438043414,8700000,37500,716800,6141,6137
